category,subcategory,indicator,indonesia_value,korea_value,unit,year,source_slide,
eCommerce,Payment,Cards as payment method offered by top 100 stores,97,,,percent,2020,Payment method offered most (Korea data not directly comparable)
eCommerce,Payment,Bank transfer offered by top 100 stores,93,,,percent,2020,Payment method offered most (Indonesia only)
eCommerce,Payment,Cash on delivery offered by top 100 stores,54,,,percent,2020,Payment method offered most (Indonesia only)
eCommerce,Payment,Mobile wallet top payment method (age 16-24),high,,,qualitative,2022,Leading payment methods - 20s
Shopping,Retail,Hypermarket retail sales value,1.08,,,billion USD,2021,Value of retail sales from hypermarkets (Korea data in KRW - not directly comparable)
Tourism,Outbound,Outbound travel expenditure,11.31,36.57,billion USD,2019,Outbound travel expenditure (Korea: 2017 peak est.),
Tourism,Outbound,Share intending to travel abroad,27,80,percent,2022,Share of people who intended to travel abroad,
Tourism,Accommodation,Total domestic guests in star hotels,74.07,,,million,2019,Total domestic guests in star hotels (Korea data different metric)
Tourism,Accommodation,Number of hotels,3520,746,units (1000s ID / units KR),2021 ID / 2019 KR,Number of hotels,
Tourism,Accommodation,Hotel employees,348300,49900,persons,2020,Number of employees in accommodation services,
Tourism,Industry,Tourism industry employees,2564500,191520,persons (thousands),2020,Number of employees in tourism industry,
Tourism,Demographics,International travelers aged 18-24,63.8,,,percent,2021,Distribution of international travelers (Korea data different breakdown)
Tourism,Demographics,International travelers aged 25-34,33.9,,,percent,2021,Distribution of international travelers (Indonesia only)
Economics,Wealth,Number of millionaires,21430,393000,persons,2020,Number of millionaires,
Economics,Real Estate,Residential property price index trend,rising,stabilizing,qualitative,2022,Residential property price index,
Economics,Banking,Monthly net interest margin (NIM) - commercial banks,4.62,1.45,percent,2021-2022,Monthly net interest margin,
Economics,Banking,Household loan YoY growth rate (recent trough),-2.4,1.2,percent,Jan-2021 ID / Aug-2022 KR,Monthly YoY loan growth,
Economics,Banking,Major bank 1 total assets (BRI / KB Kookmin),1678.1,483.56,trillion local currency,2021,Total assets of major bank 1,
Economics,Banking,Major bank 1 net income (BRI / KB Kookmin),114.09,2.54,trillion local currency,2021,Net income of major bank 1,
Economics,Banking,Major bank 2 total assets (Mandiri / Shinhan),1725.61,467.44,trillion local currency,2021,Total assets of major bank 2,
Economics,Banking,Major bank 2 net income (Mandiri / Shinhan),30.55,2.49,trillion local currency,2021,Net income of major bank 2,
Economics,Banking,Major bank 3 total assets (BCA / Hana),1228.35,430.19,trillion local currency,2021,Total assets of major bank 3,
Economics,Banking,Major bank 3 net income (BCA / Hana),31.44,2.58,trillion local currency,2021,Net income of major bank 3,
Economics,Banking,Major bank 4 total assets (BNI / Woori),964.84,397.36,trillion local currency,2021,Total assets of major bank 4,
Economics,Banking,Major bank 4 net income (BNI / Woori),11.72,2.38,trillion local currency,2021,Net income of major bank 4,
Health,Fitness,Share with fitness studio membership,29,,,percent,2020,Fitness studio memberships (Korea: franchise breakdown only)
Health,Fitness,Top gym reason - general fitness & health,high,56.63,percent,2020,Reasons for going to gym (Indonesia: qualitative top rank),
Health,Fitness,Top gym reason - lose weight,high,51.75,percent,2020,Reasons for going to gym,
Health,Fitness,Top gym reason - mental health / stress,high,39.2,percent,2020,Reasons for going to gym,
Health,Organic Food,Sometimes buy organic food,32,50.6,percent,2021,Frequency of purchasing organic food,
Health,Organic Food,Often buy organic food,32,16.23,percent,2021,Frequency of purchasing organic food,
Health,Organic Food,Rarely buy organic food,17,20.86,percent,2021,Frequency of purchasing organic food,
Health,Organic Food,Never buy organic food,2,5.17,percent,2021,Frequency of purchasing organic food,
Health,Organic Food,Top reason for organic purchase - healthier/nutritious,76,52.6,percent,2021,Reasons for purchasing organic food,
Health,Organic Food,Top reason - better for environment,49,41.39,percent,2021,Reasons for purchasing organic food,
Health,Organic Food,Top reason - more ethical/fair,33,19.26,percent,2021,Reasons for purchasing organic food,
Health,Organic Food,Top reason - trust safety standards,21,29.14,percent,2021,Reasons for purchasing organic food,
Health,Infrastructure,Total hospital beds,371195,,,units,2021,Number of hospital beds (Korea: density metric 12.65/1000)
Health,Infrastructure,Hospital bed density,,,12.65,per 1000 inhabitants,2020,Number of hospital beds
